,city_name,country_code,latitude,longitude,temperature,humidity,cloudiness,wind_speed
2011,sherbakul,ru,54.57573346600981,72.48974041686344,23.32,89.0,88.0,8.72
2014,belaya gora,ru,68.6530874321925,147.33134742998652,10.49,87.0,0.0,4.14
2015,shache,cn,36.71438995284353,78.06438493173789,58.6,41.0,32.0,4.59
2016,kandi,bj,10.931651155196604,2.8896526884565503,73.04,37.0,0.0,7.61
2021,high rock,bs,28.83452067111493,-77.87497625505925,72.95,100.0,76.0,13.98
2024,dong hoi,vn,16.788140752400864,106.7342019196135,73.94,98.0,68.0,8.72
2026,rundu,na,-16.06527921905483,19.531809888408418,69.17,76.0,80.0,9.51
2027,los llanos de aridane,es,27.24426198770084,-19.328613545803336,62.6,77.0,75.0,6.93
2028,honningsvag,no,74.13548261007003,26.513738257131365,18.64,100.0,8.0,6.71
2034,asosa,et,10.544289649118866,34.77908857204943,61.03,85.0,64.0,2.68
2035,fonte boa,br,-1.5742521014249604,-66.71883754462665,76.69,91.0,32.0,5.26
2036,jiangyou,cn,31.822730385514447,105.11575099899107,69.85,64.0,0.0,3.91
2037,luau,ao,-11.740065418650872,22.920223250325392,61.79,95.0,56.0,2.13
2038,pekan,my,3.7224882193659568,104.85040180892423,84.2,79.0,75.0,6.93
2039,jodhpur,in,26.983835705532186,73.04974916096057,80.83,30.0,0.0,4.47
2043,kokoda,pg,-8.027467041837554,147.5829348932154,78.85,58.0,36.0,0.45
2044,avera,pf,-20.961728129368282,-154.03805663695482,61.54,67.0,1.0,4.7
2046,ponta delgada,pt,30.6481314020497,-26.525918555144045,60.8,82.0,75.0,11.41
2047,oussouye,sn,10.607053743552086,-18.473838716425433,70.75,97.0,0.0,14.09
2060,soyo,ao,-7.267075417593929,11.063269686410905,77.27,98.0,92.0,2.35
2064,ekhabi,ru,53.39753400732258,147.0318578479388,24.17,100.0,88.0,12.53
2066,kirkwood,za,-33.48151167433538,24.935119343261164,68.0,100.0,90.0,5.82
2068,san rafael,ar,-35.87348624397413,-69.04382051651537,50.77,90.0,0.0,2.8
2076,xinzhi,cn,36.37406501341398,112.53196597589789,78.13,57.0,40.0,4.7
2081,riyadh,sa,24.02042081542001,45.120115861286706,68.0,32.0,75.0,3.36
2085,vysokogornyy,ru,50.50764051975827,139.2939895574214,45.41,49.0,64.0,6.38
2089,hibbing,us,47.756457958155636,-92.76492497201266,23.0,45.0,1.0,10.29
2090,ulladulla,au,-37.31802894060335,152.9996496080563,73.4,69.0,0.0,8.05
2094,aswan,eg,21.978690760021934,29.45033940483114,55.54,83.0,0.0,4.14
2117,morondava,mg,-19.83409032111622,41.0068269909257,76.19,99.0,36.0,4.47
2120,saldanha,za,-44.19366833433243,-2.5143032955179763,51.22,70.0,92.0,8.39
2121,oum hadjer,td,13.904502289560725,19.812680615625,65.17,43.0,0.0,3.58
2122,manadhoo,mv,6.283346898330379,75.37046251696756,81.86,100.0,76.0,1.9
2136,saint-augustin,ca,58.546682756805836,-57.65261023283965,50.79,62.0,0.0,9.17
2147,ducheng,cn,23.072600969641456,111.31127521254251,67.87,100.0,88.0,4.47
2148,maua,ke,0.061680709829289526,38.52231264683758,62.65,95.0,92.0,2.46
2150,belomorsk,ru,64.38109007150936,34.820407944170455,16.7,82.0,20.0,4.81
2154,saint-georges,gf,7.0355305397071675,-44.525508463343556,24.13,54.0,12.0,7.27
2160,san vicente,cl,-34.16053917850953,-71.15041750016361,76.1,88.0,0.0,6.93
2161,ancud,cl,-39.59991451183853,-86.83338876094335,48.07,86.0,0.0,3.91
2167,port hueneme,us,30.87046948412113,-120.70034634677705,57.58,82.0,90.0,3.36
2168,jawar,in,23.029685289833665,76.4506372207772,39.43,77.0,0.0,1.79
2175,guarapari,br,-21.59489791712278,-38.98099654222548,78.8,88.0,20.0,8.05
2176,gat,ly,26.694755484728233,8.900186379609494,65.66,74.0,0.0,12.08
2179,ilanskiy,ru,56.294028376874905,95.92426808196149,23.99,88.0,36.0,13.2
2193,sunrise manor,us,37.64181511576156,-115.31308051854704,81.21,9.0,1.0,11.41
2194,nakamura,jp,31.089462592863242,134.0331418121704,62.6,72.0,0.0,4.7
2203,actopan,mx,19.465270610729107,-96.62503038439371,52.3,71.0,0.0,2.68
2206,biltine,td,15.29408602698895,20.79835108104149,67.82,19.0,0.0,12.64
2207,hirado,jp,35.26973593243119,128.24041146927004,68.0,64.0,40.0,11.41
2208,balabac,ph,8.764841318584317,113.72902005252377,83.17,100.0,0.0,1.57
2215,laranjal paulista,br,-23.136945410306467,-47.92615114547536,72.32,86.0,68.0,5.7
2222,moussoro,td,14.508133177078449,17.638799698946826,70.84,19.0,0.0,9.84
2236,cabedelo,br,-4.364970881641071,-25.799914908842197,77.0,94.0,20.0,3.36
2241,keti bandar,pk,23.378971701509272,66.38670921144507,78.67,96.0,20.0,11.07
2245,heddesheim,de,49.521023754374625,8.619311155321697,38.39,93.0,0.0,1.12
2246,payo,ph,18.728566653581566,130.31912621063492,77.77,100.0,76.0,4.59
2255,garowe,so,7.837607424455413,48.3952611467289,72.5,92.0,92.0,4.59
2256,nakapiripirit,ug,1.9227391201958284,34.75575998922662,55.54,93.0,0.0,2.57
2259,porto walter,br,-8.2245654587024,-71.85520873382646,73.94,90.0,0.0,2.24
2264,chiredzi,zw,-21.564652435950407,31.76426525045477,65.98,95.0,76.0,3.36
2265,sambava,mg,-13.746996942336494,52.569710159345874,79.93,100.0,76.0,9.84
2271,kungurtug,ru,49.169935091364806,97.70854230377233,4.42,42.0,24.0,6.15
2272,archidona,ec,-0.3933061361633605,-77.67129176536703,60.44,99.0,88.0,1.57
2273,fredericksburg,us,30.668360932571446,-99.30855741046625,54.73,62.0,40.0,5.82
2274,carahue,cl,-38.580030276516325,-73.6343699426883,52.93,100.0,0.0,4.7
2277,alyangula,au,-13.6467523866838,137.1793645664194,90.82,83.0,8.0,8.16
2285,pascagoula,us,27.317492595181832,-87.87382121489973,62.33,93.0,1.0,4.92
2293,talcahuano,cl,-36.464688146487525,-73.79669788347341,53.6,93.0,0.0,2.24
2295,northam,au,-29.200639524636635,120.18019438810143,43.45,93.0,92.0,11.41
2300,bolu,tr,40.33114299507366,31.3988637720868,45.1,77.0,88.0,5.93
2303,ko samui,th,9.030738551231678,100.41281257748687,84.2,79.0,20.0,4.7
2310,quatre cocos,mu,-16.676724993410758,68.74125528464512,80.6,83.0,75.0,11.41
2311,bandarbeyla,so,7.678655196081962,56.945386870120615,80.65,100.0,92.0,3.91
2313,sacramento,br,-19.975408038685444,-47.187611150647996,70.29,56.0,1.0,9.17
2323,york,gb,53.95985308611202,-0.7381349454952613,38.25,93.0,92.0,9.17
